year,CPI,Exch Rate,Lend Int Rates
1987,7.872727479,16.45499,14
1988,8.848082659,17.7471,15
1989,10.03502884,20.57247,17.25
1990,11.60232171,22.91477,18.75
1991,13.80588195,27.5087,18.9975
1992,17.57935591,32.21683,21.0675
1993,25.6621471,58.00133,29.98917
1994,33.05653811,56.05058,36.24
1995,33.57034519,51.4293,28.79583
1996,36.54604993,57.11487,33.78667
1997,40.68367307,58.73184,30.245
1998,42.88707553,60.3667,29.49
1999,45.36555459,70.32622,22.38
2000,49.89066018,76.17554,22.33917
2001,52.75021683,78.5632,19.66583
2002,53.78710289,78.74914,18.45333
2003,59.06105031,75.93557,16.57333
2004,66.02725056,79.17388,12.53167
2005,72.57202689,75.55411,12.8825
2006,76.94991563,72.10084,13.63533
2007,80.23608901,67.31764,13.34034
2008,92.36286531,69.17532,14.01694
2009,102.095496,77.35201,14.80454
2010,106.2649157,79.23315,14.3715
2011,121.1653544,88.81077,15.04676
2012,132.5285597,84.5296,19.72341
